Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-4,N-Acetylserine,0,0,0,0,559225.2,0,0,0,481536.2,0,438090.1,477726.5,469721.7,0,0,0,0,451675.1,470070.4,0,445549.1,464621.2,463047.5,0,C5H9NO4
C13-label-5,N-Acetylserine,0,0,0,0,0,24685.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H9NO4
C12 PARENT,D-2-Hydroxyglutaric acid,5741092,2215334,2666728,2170538,4771386,4710354,4496780,4697668,5495458,5049868,2362472,2347092,2365936,4276752,5167068,4932266,4477218,4836892,3501540,2330029,2014121,2026174,3606390,4541328,C5H8O5
C13-label-1,D-2-Hydroxyglutaric acid,340723.3,93711.46,115284,131488.7,324507.3,264473.8,248300.7,220126.2,343064.5,247538.3,191628.4,169864.7,175691.1,271632.9,360868.2,332298.8,250759.4,262616.5,236746,103739.3,134865.8,159526.2,254301.2,300546.6,C5H8O5
C13-label-2,D-2-Hydroxyglutaric acid,63556.97,39609.45,0,53186.83,248706,234794.3,248977.5,98233.31,63037.04,26363.32,0,0,0,0,18100.18,18420.6,20739.88,16377.89,17525.62,13751.8,24191.78,15699.6,23706.03,58149.53,C5H8O5
C13-label-3,D-2-Hydroxyglutaric acid,0,0,0,0,14546.64,12995.22,14519.66,0,0,0,0,0,0,0,0,0,0,0,125142.1,15069.5,85553.41,36128.73,272115.1,245198.3,C5H8O5
C13-label-4,D-2-Hydroxyglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H8O5
C13-label-5,D-2-Hydroxyglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142191,172958.1,286387.5,311421.8,772586.3,877098.2,C5H8O5
C12 PARENT,L-Methionine,864985.2,638126.8,297750.9,363180.1,1066363,801356.7,1633371,291210.1,470556,562118.7,384622.5,176564.7,186591.5,1101134,1233958,1222987,469809.4,569173.9,658935.8,154647.1,209464.8,896136.8,1106340,1185951,C5H11NO2S
C13-label-1,L-Methionine,48899.78,34054.3,20586.19,7425.977,69120.33,47090.92,85057.01,14485.75,25519.32,22475.88,21293,9158.326,6891.381,56956.01,65659.41,68863.82,27890.28,32173.34,37243.93,0,3893.292,51400.7,66056.84,66719.1,C5H11NO2S
C13-label-2,L-Methionine,0,0,0,0,0,0,5205.538,0,0,0,0,0,0,3686.265,2760.95,0,0,0,0,0,0,3494.964,2184.447,0,C5H11NO2S
C13-label-3,L-Methionine,0,0,0,0,0,0,0,0,0,2094.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C13-label-4,L-Methionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C13-label-5,L-Methionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C12 PARENT,Xanthine,38143.44,26642.52,37195.72,24588.76,38913.02,32517.19,56262.92,31410.32,40167.19,35500.5,26601.81,28439.08,31044.54,34656.49,41201.54,33935.07,45002.89,35371.91,35572.35,24099.3,28656.81,35904.89,33420.1,41142.05,C5H4N4O2
