,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Replicate,Background Sample,Label,frag_keys,Background Corrected,Background Corrected with zero,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
31,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,15700,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,164,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",9288.0,9288.0,-3101.11,0.0,298698.4,0.0
32,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,3730,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,164,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",211.0,211.0,-93.61,0.0,298698.4,0.0
33,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,333,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,164,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-267.0,0.0,-274.65,0.0,298698.4,0.0
34,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,134,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,164,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-132.0,0.0,-129.04,0.0,298698.4,0.0
35,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,203000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,170,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",203000.0,203000.0,212013.2,212013.2,409203.0,0.5181125260567494
36,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,30500,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,170,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",24088.0,24088.0,15876.93,15876.93,409203.0,0.03879964223136194
37,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,82700,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,170,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",79181.0,79181.0,80136.69,80136.69,409203.0,0.19583602759510563
38,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,77300,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,170,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",76700.0,76700.0,75793.55,75793.55,409203.0,0.18522237129248809
39,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,26500,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,170,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",26234.0,26234.0,25382.63,25382.63,409203.0,0.06202943282429504
40,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,249000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,172,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",249000.0,249000.0,260055.6,260055.6,260055.6,1.0
