Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-4,L-Proline,0.0,0.0,0.0,0.0,44303.02,56492.4,32020.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22840.63,24426.51,C5H9NO2
C13-label-5,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121235.2,42867.54,76200.83,62074.77,800305.2,776243.7,C5H9NO2
N15-label-1,L-Proline,0.0,5253.161,0.0,4221.287,7857.78,6011.924,0.0,4582.015,0.0,6258.47,0.0,0.0,0.0,16574.93,0.0,0.0,0.0,0.0,47017.98,12843.79,10883.4,0.0,393872.5,414120.4,C5H9NO2
C13N15-label-1-1,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5185.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420.784,0.0,155503.1,127579.2,C5H9NO2
C13N15-label-2-1,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6271.671,0.0,110529.9,95391.13,C5H9NO2
C13N15-label-3-1,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8341.28,13193.96,12799.34,3662.856,350649.9,305035.3,C5H9NO2
C13N15-label-4-1,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5378.717,0.0,0.0,0.0,27809.76,30170.99,C5H9NO2
C13N15-label-5-1,L-Proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309405.8,70093.99,82354.94,61302.14,1259285.0,1215506.0,C5H9NO2
C12 PARENT,Fumaric acid,715794.8,349015.1,357851.1,317175.2,914217.7,954640.5,882969.7,545896.4,617012.3,594959.4,374268.7,356288.2,330259.8,846817.9,1111894.0,680968.6,603286.8,561371.5,222655.0,130461.3,217022.2,258102.9,417446.6,510976.0,C4H4O4
C13-label-1,Fumaric acid,13834.82,14407.17,21010.4,17857.66,93970.5,62704.53,78843.57,0.0,16290.64,0.0,33258.29,26394.29,17404.44,37844.55,96932.6,37550.76,28032.53,20711.82,0.0,0.0,14720.25,11878.03,69420.44,105357.1,C4H4O4
