Component Name,Formula,Unlabeled Fragment,Isotopic Tracer,Parent Formula,Isotopologue,Metab
glucose 179/89,C3H5O3,glucose 179/89,C13,C6H11O6,M+0,glucose
glucose 180/89,C3H5O3,glucose 179/89,C13,C6H11O6,M+1,glucose
glucose 180/90,C3H5O3,glucose 179/89,C13,C6H11O6,M+1,glucose
glucose 181/89,C3H5O3,glucose 179/89,C13,C6H11O6,M+2,glucose
glucose 181/90,C3H5O3,glucose 179/89,C13,C6H11O6,M+2,glucose
glucose 181/91,C3H5O3,glucose 179/89,C13,C6H11O6,M+2,glucose
glucose 182/89,C3H5O3,glucose 179/89,C13,C6H11O6,M+3,glucose
glucose 182/90,C3H5O3,glucose 179/89,C13,C6H11O6,M+3,glucose
glucose 182/91,C3H5O3,glucose 179/89,C13,C6H11O6,M+3,glucose
glucose 182/92,C3H5O3,glucose 179/89,C13,C6H11O6,M+3,glucose
glucose 183/90,C3H5O3,glucose 179/89,C13,C6H11O6,M+4,glucose
glucose 183/91,C3H5O3,glucose 179/89,C13,C6H11O6,M+4,glucose
glucose 183/92,C3H5O3,glucose 179/89,C13,C6H11O6,M+4,glucose
glucose 184/91,C3H5O3,glucose 179/89,C13,C6H11O6,M+5,glucose
glucose 184/92,C3H5O3,glucose 179/89,C13,C6H11O6,M+5,glucose
glucose 185/92,C3H5O3,glucose 179/89,C13,C6H11O6,M+6,glucose
n-acetyl-aspartate 174/88,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+0,n-acetyl-aspartate
n-acetyl-aspartate 175/88,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+1,n-acetyl-aspartate
n-acetyl-aspartate 175/89,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+1,n-acetyl-aspartate
n-acetyl-aspartate 176/88,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+2,n-acetyl-aspartate
n-acetyl-aspartate 176/89,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+2,n-acetyl-aspartate
